seed,horizon,budget,exploration_param,gamma,steps
4839634,20,5012,32,0.9,13
4839634,28,5012,16,0.95,76
4839635,24,31623,8,0.9,200
4839635,32,1995,16,1.0,51
4839634,12,7943,16,0.95,47
4839634,30,1000,32,0.95,17
4839635,20,794328,8,0.95,200
4839635,34,158489,16,0.95,200
4839635,16,39811,8,0.95,200
4839635,32,3162,8,0.95,39
4839635,20,1585,8,0.95,47
4839634,22,1995,16,0.95,69
4839634,38,316228,8,0.95,200
4839634,40,2512,32,1.0,20
4839635,26,79433,16,0.9,200
4839634,36,39811,16,0.95,200
4839634,36,7943,8,1.0,24
4839634,40,100000,16,0.95,200
4839635,12,79433,32,0.95,68
4839634,36,1585,16,0.9,13
4839635,10,2512,8,0.9,29
4839635,30,31623,8,1.0,200
4839635,12,158489,16,0.95,179
4839634,40,3162,32,0.95,18
4839634,28,3981,8,1.0,161
4839635,18,50119,8,0.95,200
4839635,18,31623,32,1.0,77
4839635,20,6310,16,1.0,94
4839634,38,125893,8,0.9,200
4839634,12,3981,32,1.0,30
4839635,28,1995,16,1.0,169
4839635,22,501187,8,0.95,200
4839634,36,158489,8,0.9,200
4839635,22,1000000,32,1.0,200
4839634,18,3981,16,0.95,48
4839634,32,63096,16,1.0,200
4839635,32,31623,8,0.95,200
4839635,36,501187,32,0.9,200
4839634,38,251189,8,0.95,200
4839635,28,251189,8,0.9,200
4839635,24,79433,8,0.95,200
4839634,30,316228,8,1.0,149
4839634,30,3162,16,0.95,17
4839635,28,199526,32,0.9,71
4839635,32,630957,32,0.95,200
4839635,38,12589,16,0.95,118
4839634,20,6310,32,0.95,40
4839635,20,50119,8,0.9,200
4839635,38,501187,32,0.9,181
4839635,36,31623,16,0.95,51
4839635,24,39811,8,1.0,200
4839634,16,63096,32,0.9,74
4839634,16,794328,32,0.9,200
4839634,36,25119,16,1.0,200
4839634,32,158489,32,0.9,93
4839634,20,19953,16,0.9,39
4839634,34,5012,8,0.9,84
4839634,30,501187,16,0.95,200
4839635,36,501187,16,0.95,200
4839634,36,50119,16,0.9,117
4839635,26,10000,32,0.95,80
4839634,34,125893,8,0.95,200
4839635,30,100000,8,1.0,200
4839634,36,3981,8,1.0,34
4839635,10,25119,8,0.9,67
4839635,36,316228,8,0.9,200
4839635,38,50119,8,1.0,170
4839634,24,25119,16,0.95,200
4839634,12,3981,32,0.9,14
4839635,26,3162,16,0.95,37
4839634,10,1585,32,0.9,27
4839634,28,79433,8,0.95,200
4839634,16,100000,16,0.95,200
4839634,32,3981,8,0.9,27
4839635,32,3981,8,0.9,29
4839635,10,1000000,32,0.95,101
4839634,24,501187,16,1.0,200
4839634,26,1000,16,1.0,20
4839634,36,12589,32,0.9,24
4839634,26,1585,16,0.95,21
4839635,24,251189,8,1.0,200
4839635,14,3162,16,0.95,64
4839634,10,630957,8,0.95,81
4839634,36,794328,32,1.0,200
4839635,38,1259,32,1.0,24
4839635,28,1000,8,0.9,22
4839634,30,1585,8,0.95,127
4839635,30,3981,8,0.95,173
4839635,20,31623,16,1.0,200
4839634,26,31623,8,0.95,200
4839635,26,25119,16,0.9,42
4839634,16,1995,8,0.95,31
4839635,18,25119,8,0.95,200
4839634,24,1000,16,0.95,37
4839635,22,3162,16,0.95,44
4839634,24,125893,16,0.9,200
4839635,38,6310,8,0.9,44
4839635,30,15849,32,0.95,65
4839635,32,199526,32,0.95,200
4839635,12,6310,16,1.0,103
4839635,32,316228,8,0.95,200
4839635,14,5012,16,0.95,68
4839634,40,5012,8,0.95,78
4839634,38,19953,32,1.0,200
4839635,18,1995,8,0.9,50
4839634,24,398107,32,0.95,200
4839635,36,1259,8,1.0,47
4839634,16,1000,16,0.95,24
4839635,28,100000,8,0.9,200
4839634,32,100000,8,0.9,200
4839635,16,63096,16,1.0,200
4839634,36,31623,32,1.0,200
4839635,34,63096,32,1.0,200
4839634,30,79433,16,0.9,200
4839635,34,39811,32,0.95,62
4839634,38,794328,16,1.0,200
4839635,22,6310,16,1.0,200
4839634,30,12589,16,1.0,200
4839635,22,251189,32,0.95,200
4839635,38,79433,32,0.9,60
4839635,22,6310,32,1.0,130
4839634,14,1000,32,1.0,20
4839634,14,19953,32,0.95,26
4839635,22,12589,16,0.95,200
4839634,20,25119,16,0.9,112
4839635,26,31623,32,1.0,200
4839635,18,63096,32,1.0,200
4839634,10,316228,32,1.0,182
4839635,36,1000,16,0.95,39
4839634,28,3162,32,0.95,43
4839634,22,7943,16,1.0,200
4839635,36,1259,8,0.95,34
4839634,10,19953,8,1.0,62
4839634,40,39811,32,1.0,200
4839634,32,3981,32,0.9,19
4839635,20,2512,8,1.0,38
4839634,16,2512,32,0.95,46
4839634,12,158489,8,1.0,200
4839635,24,199526,16,0.95,200
4839635,26,501187,8,0.9,200
4839634,18,1995,8,1.0,103
4839635,16,1259,32,0.9,7
4839635,18,19953,8,0.95,200
4839634,22,501187,16,1.0,200
4839635,30,15849,8,0.9,27
4839635,26,5012,16,1.0,200
4839634,14,1259,8,1.0,35
4839634,36,12589,8,1.0,200
4839634,18,199526,32,1.0,200
4839635,28,79433,32,0.9,116
4839635,22,50119,16,0.9,90
4839635,36,50119,32,0.9,21
4839634,40,1000000,32,1.0,200
4839634,34,10000,16,1.0,200
4839635,16,50119,16,1.0,200
4839635,14,316228,8,0.9,200
4839634,16,3981,16,1.0,200
4839635,32,12589,16,0.9,71
4839635,40,501187,32,0.9,48
4839635,24,7943,8,0.95,146
4839634,38,158489,8,0.95,200
4839635,34,1995,16,0.9,33
4839634,38,398107,16,0.95,200
4839634,32,398107,32,0.95,200
4839634,36,15849,8,0.95,80
4839634,20,31623,32,1.0,200
4839634,26,31623,8,1.0,200
4839634,10,6310,16,0.9,28
4839634,38,31623,16,0.95,200
4839634,30,630957,16,0.95,200
4839635,34,316228,32,1.0,200
4839634,40,158489,16,0.9,195
4839634,20,1585,16,0.95,40
4839634,18,1259,32,0.95,41
4839635,38,3981,16,0.9,22
4839634,34,3162,8,0.9,76
4839635,34,251189,16,1.0,200
4839635,36,501187,8,0.95,200
4839635,26,3162,8,0.95,42
4839634,24,2512,16,0.9,38
4839635,20,5012,16,0.95,40
4839634,28,25119,8,1.0,158
4839635,22,1000000,8,1.0,200
4839634,18,100000,32,1.0,200
