seed,horizon,budget,exploration_param,gamma,steps
4839643,10,63096,32,0.95,53
4839643,12,316228,32,0.95,138
4839643,32,19953,32,1.0,498
4839643,20,25119,32,0.95,126
4839643,38,199526,32,0.95,500
4839643,10,199526,32,0.9,33
4839643,40,31623,16,1.0,394
4839643,36,50119,16,1.0,500
4839643,40,316228,16,0.9,346
4839643,10,1000000,16,0.95,61
4839643,28,19953,32,1.0,500
4839643,24,100000,16,0.95,433
4839643,10,398107,16,0.95,44
4839643,40,100000,32,0.95,499
4839643,34,251189,16,1.0,328
4839643,22,7943,32,1.0,61
4839643,14,15849,16,1.0,201
4839643,34,794328,16,0.95,500
4839643,24,158489,16,1.0,277
4839643,38,158489,16,0.95,500
4839643,24,1585,32,1.0,30
4839643,32,199526,32,0.9,26
4839643,12,1000,32,0.95,20
4839643,40,1585,16,0.95,17
4839643,10,158489,16,0.95,52
4839643,16,125893,16,1.0,500
4839643,36,3162,32,1.0,32
4839643,36,158489,32,0.95,500
4839643,16,25119,16,0.9,64
4839643,16,316228,16,0.95,500
4839643,30,251189,32,0.95,500
4839643,24,1000,16,0.95,17
4839643,18,125893,32,0.9,193
4839643,36,10000,16,0.95,71
4839643,22,1259,32,0.95,27
4839643,10,794328,16,0.9,51
4839643,34,1585,16,1.0,50
4839643,38,2512,16,1.0,102
4839643,16,1000,32,1.0,25
4839643,38,1000000,16,0.95,500
4839643,32,501187,32,0.9,282
4839643,22,5012,16,0.95,40
4839643,34,2512,16,0.95,38
4839643,28,125893,32,1.0,500
4839643,26,63096,32,0.95,500
4839643,14,398107,16,0.9,136
4839643,22,2512,32,0.95,31
4839643,28,316228,16,0.9,500
4839643,18,3162,32,0.95,40
4839643,32,1259,32,0.95,10
4839643,34,1000,32,0.9,6
4839643,24,7943,16,1.0,449
4839643,18,125893,16,1.0,333
4839643,16,10000,32,1.0,178
4839643,26,1000,32,0.95,24
4839643,28,39811,16,0.95,500
4839643,16,199526,32,1.0,500
4839643,24,10000,32,1.0,276
4839643,38,2512,32,0.95,22
4839643,34,630957,16,0.95,460
4839643,30,15849,16,0.95,381
4839643,14,501187,16,0.9,63
4839643,30,1995,32,1.0,54
4839643,22,15849,32,0.95,64
4839643,40,398107,16,0.95,500
4839643,18,3162,32,1.0,22
4839643,38,1995,16,0.9,16
4839643,24,3162,32,0.95,16
4839643,22,125893,32,1.0,500
4839643,10,125893,32,0.95,29
4839643,28,79433,16,1.0,332
4839643,16,15849,16,0.9,85
4839643,16,2512,32,0.9,15
4839643,22,1995,16,0.95,34
4839643,26,1259,32,0.95,25
4839643,14,158489,16,1.0,325
4839643,40,1000,32,1.0,29
4839643,26,1259,32,1.0,21
4839643,28,31623,16,0.95,500
4839643,36,31623,16,0.95,500
4839643,24,630957,16,0.95,332
4839643,20,125893,32,1.0,500
4839643,26,63096,32,1.0,415
4839643,38,199526,16,1.0,500
4839643,14,398107,16,0.95,215
4839643,18,63096,32,0.9,57
4839643,40,10000,16,0.95,94
4839643,34,316228,32,1.0,500
4839643,32,7943,32,0.95,31
4839643,40,794328,16,0.95,500
4839643,16,630957,16,0.9,278
4839643,26,630957,16,1.0,500
4839643,14,158489,32,0.9,56
4839643,24,158489,32,0.9,163
4839643,34,50119,32,1.0,500
4839643,36,12589,32,0.95,69
4839643,38,31623,16,0.9,81
4839643,36,50119,16,0.9,51
4839643,18,251189,32,0.9,71
4839643,40,1000,16,1.0,9
4839643,10,7943,32,0.9,36
4839643,24,12589,32,0.95,49
4839643,16,12589,32,1.0,38
4839643,32,12589,16,1.0,258
4839643,22,1585,32,0.95,10
4839643,22,3981,32,0.95,25
4839643,14,251189,16,0.95,500
4839643,12,251189,32,0.9,19
4839643,32,10000,32,1.0,204
4839643,26,398107,32,1.0,500
4839643,38,79433,16,1.0,500
4839643,16,1000,16,1.0,45
4839643,34,1000000,16,0.9,500
4839643,10,19953,32,1.0,40
4839643,22,31623,32,1.0,500
4839643,34,125893,16,0.95,331
4839643,26,50119,16,0.95,500
4839643,12,63096,32,0.9,46
4839643,40,398107,16,0.9,475
4839643,32,25119,32,1.0,500
4839643,16,50119,32,0.95,89
4839643,20,1585,16,1.0,56
4839643,34,251189,16,0.95,500
4839643,14,316228,16,0.95,338
4839643,30,12589,32,0.9,25
4839643,14,794328,16,0.95,500
4839643,32,25119,32,0.95,44
4839643,24,125893,16,0.95,500
4839643,26,50119,16,1.0,500
4839643,26,39811,16,0.9,23
4839643,16,12589,16,0.9,45
4839643,40,1000000,32,1.0,500
4839643,38,25119,16,0.95,500
4839643,22,1000000,16,0.95,500
4839643,32,398107,16,1.0,464
4839643,32,25119,16,0.95,272
4839643,34,1259,32,0.95,16
4839643,16,501187,32,1.0,500
4839643,12,125893,32,0.95,88
4839643,10,15849,16,0.9,30
4839643,34,10000,32,0.9,30
4839643,36,125893,32,0.9,30
4839643,36,39811,32,0.95,78
4839643,14,1259,16,0.95,30
4839643,38,5012,16,0.9,42
4839643,40,39811,16,0.95,324
4839643,34,25119,32,0.9,23
4839643,26,630957,32,0.95,500
4839643,28,63096,16,1.0,500
4839643,24,2512,32,0.9,12
4839643,10,630957,16,0.9,48
4839643,12,100000,16,0.95,192
4839643,24,316228,32,0.95,500
4839643,22,3981,16,1.0,177
4839643,26,3981,16,0.9,52
4839643,36,501187,16,0.9,500
4839643,26,501187,32,0.9,371
4839643,26,125893,32,0.95,341
4839643,40,1259,32,1.0,26
4839643,14,10000,32,1.0,38
4839643,40,1995,16,0.95,39
4839643,18,158489,32,0.9,83
4839643,34,1000000,16,1.0,271
4839643,16,3162,32,0.9,18
4839643,28,63096,32,0.9,33
4839643,26,25119,16,0.9,105
4839643,24,25119,32,1.0,366
4839643,22,19953,16,0.9,60
4839643,20,630957,32,1.0,500
4839643,16,1259,16,0.9,22
4839643,28,630957,16,1.0,397
4839643,16,2512,16,0.9,43
4839643,28,25119,16,0.9,25
4839643,32,15849,16,0.9,55
4839643,24,1995,32,0.95,23
4839643,36,100000,16,0.9,52
4839643,30,1000,32,1.0,35
4839643,36,6310,16,1.0,248
4839643,12,1000000,32,1.0,241
4839643,40,100000,16,0.9,48
4839643,10,1585,16,0.9,19
4839643,32,158489,16,0.9,186
4839643,24,251189,32,0.9,31
4839643,30,79433,32,0.9,78
4839643,10,1995,16,0.9,21
4839643,24,12589,32,1.0,500
4839643,34,5012,32,0.95,13
4839643,24,79433,16,0.9,402
4839643,36,1000000,32,0.9,500
4839643,22,5012,16,0.9,38
4839643,20,1000,32,1.0,17
4839643,22,63096,32,0.9,44
4839643,40,158489,16,1.0,276
4839643,16,2512,32,1.0,40
4839643,10,1000,16,0.9,34
4839643,14,1585,16,1.0,62
4839643,32,63096,16,0.95,328
4839643,28,199526,16,0.9,272
4839643,36,501187,16,1.0,427
4839643,10,398107,16,1.0,155
4839643,20,1259,16,1.0,40
4839643,30,3981,32,1.0,35
4839643,24,39811,16,1.0,500
